N2_T,N_T,H_T,NH3_T,NH2_T,NH_T,N2,H2,NH3,N2_S,N_S,H_S,NH3_S,NH2_S,NH_S,N_S3,time
3.7030424599292335e-10,1.5766826664640966e-07,9.694239201420854e-08,1.3971320635758256e-11,9.231531291888291e-11,2.8244521680361754e-06,0.00025666911359751486,0.000770004615218427,3.0265499870284597e-07,1.367013619882008e-11,1.969715890313515e-09,1.9912985584966494e-09,2.976524993421045e-11,5.6969430904686645e-08,1.8599342218021296e-09,5.827241677723448e-13,0.00013782015005503467
3.7236737356778347e-10,1.5796950046259526e-07,9.694319474028839e-08,1.3566622841835941e-11,9.098086262439564e-11,2.8241703878344438e-06,0.0002566691088642688,0.000770004791770167,3.026520420528138e-07,1.623517030819568e-11,1.962042077265431e-09,2.002245260356209e-09,3.3496562705365504e-11,5.689865483888796e-08,1.9200400465228044e-09,6.509410174463702e-13,0.0001519351311145556
3.71459870250597e-10,1.5821997943476878e-07,9.694143698228006e-08,1.3200950583544506e-11,9.008572772702532e-11,2.823937509762564e-06,0.00025666910717299244,0.0007700049357516947,3.0264980556650597e-07,1.838329690032319e-11,1.9554720516072333e-09,2.0125961198209104e-09,3.647590747861905e-11,5.684535774112444e-08,1.9636635869823275e-09,7.153542759721585e-13,0.0001543776601238278
3.689947600925316e-10,1.5839560358695707e-07,9.693881395942328e-08,1.2922629703568042e-11,8.959821755111952e-11,2.823775213142417e-06,0.00025666910755263493,0.000770005034708156,3.0264838418905234e-07,1.990732208929196e-11,1.9507371314546385e-09,2.020709417037153e-09,3.848423240428755e-11,5.681167001491872e-08,1.9900109879815105e-09,7.664849906772882e-13,0.00015682018913310003
3.653106346332794e-10,1.5851760090330658e-07,9.693586436280439e-08,1.2708358905908821e-11,8.940110589598748e-11,2.823663408927247e-06,0.00025666910948868364,0.0007700051010013477,3.0264763104564074e-07,2.0930547891380024e-11,1.947373154741309e-09,2.0271482031241125e-09,3.9713215999528765e-11,5.679250863249987e-08,2.0036871875568793e-09,8.088123096372134e-13,0.00015926271814237225
3.6140831175112297e-10,1.5865220006876975e-07,9.693331176834408e-08,1.248292243581321e-11,8.915325339776574e-11,2.823539763657655e-06,0.00025666911145062385,0.0007700051737778667,3.0264691848775446e-07,2.1959278418609248e-11,1.9437874716024487e-09,2.0339636804794956e-09,4.0936342474228834e-11,5.6771623020423046e-08,2.018945237662472e-09,8.552721134122406e-13,0.0001641477761609167
3.562311778842566e-10,1.5882976279863024e-07,9.692997318390679e-08,1.2196795369593747e-11,8.882827796675694e-11,2.8233764557476605e-06,0.0002566691140336736,0.0007700052692002545,3.026461405187604e-07,2.319366035079755e-11,1.9391641571400595e-09,2.0427840297853965e-09,4.238644547912269e-11,5.6745150011472854e-08,2.0383862946643125e-09,9.154708217785292e-13,0.00016903283417946113
3.4901814271009265e-10,1.5908487288553984e-07,9.692553205283564e-08,1.1788930536972742e-11,8.834092843878662e-11,2.8231415689532074e-06,0.0002566691175655314,0.0007700054064709913,3.0264504111220586e-07,2.49346700872946e-11,1.9325506227311173e-09,2.055252276378734e-09,4.444295758591128e-11,5.670670176369627e-08,2.0669599015195333e-09,1.0007823494541186e-12,0.00017391789219800557
3.395492170554675e-10,1.5940326269508838e-07,9.691932963845049e-08,1.1298707631124898e-11,8.778477317156297e-11,2.8228482918511447e-06,0.00025666912231264044,0.000770005576177437,3.026440183935893e-07,2.6878175046228612e-11,1.9244466183000977e-09,2.07072226367761e-09,4.6676289031284414e-11,5.66620045453294e-08,2.0999385606409937e-09,1.1053782556766163e-12,0.00018391014324592447
3.2807750937428635e-10,1.5979044421897062e-07,9.691040032986107e-08,1.0747785934753837e-11,8.715732366840982e-11,2.82249130108053e-06,0.00025666912791597057,0.0007700057807958535,3.0264324021194513e-07,2.8898148796377087e-11,1.914857723479895e-09,2.089252030125777e-09,4.892958116636959e-11,5.661199971354528e-08,2.1366236671607162e-09,1.2260118210887516e-12,0.00019390239429384337
